ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season,Crop_status
53,410,1,1,3,50,35.0,0,2,0
54,410,1,1,3,20,32.0,0,3,1
55,410,0,1,3,5,24.0,0,3,0
56,448,1,1,3,5,27.0,0,1,0
57,448,1,1,3,20,16.0,0,3,0
58,448,1,1,3,30,24.0,0,2,0
59,448,1,1,3,35,28.0,0,1,0
62,448,0,1,3,20,32.0,0,2,0
63,448,0,1,3,25,16.0,0,1,0
64,448,0,1,3,25,21.0,0,2,0
65,448,0,1,3,40,25.0,0,1,0
67,448,0,1,3,60,31.0,0,1,0
68,448,0,1,3,70,28.0,0,3,0
69,488,1,1,3,15,32.0,0,3,0
70,488,1,1,3,25,27.0,0,3,0
71,488,1,1,3,30,26.0,0,2,0
72,488,1,1,3,35,30.0,0,3,0
73,488,1,1,3,60,33.0,0,1,0
74,488,1,1,3,10,17.0,0,1,1
75,488,1,1,3,20,33.0,0,1,1
76,488,0,1,3,10,33.0,0,2,0
77,488,0,1,3,20,32.0,0,2,0
78,489,0,1,3,25,24.0,0,1,0
79,488,0,1,3,60,32.0,0,1,1
80,531,1,1,3,5,27.0,0,1,0
82,531,1,1,3,50,30.0,0,2,0
83,531,1,1,3,20,34.0,0,1,1
84,531,0,1,3,5,17.0,0,1,0
85,531,0,1,3,20,33.0,0,1,0
86,531,0,1,3,60,19.0,0,2,0
87,577,1,1,3,20,33.0,0,2,0
88,577,1,1,3,50,33.0,0,3,0
89,577,0,1,3,30,29.0,0,2,0
90,577,0,1,3,30,39.0,0,1,0
91,577,0,1,3,55,33.0,0,1,0
92,577,0,1,3,60,29.0,0,1,0
93,577,0,1,3,15,34.0,0,2,1
94,626,1,1,3,20,38.0,0,2,0
95,625,1,1,3,30,42.0,0,3,0
96,625,1,1,3,40,15.0,0,1,0
97,625,1,1,3,50,40.0,0,2,0
98,626,0,1,3,5,32.0,0,1,0
99,625,0,1,3,20,23.0,0,3,0
100,625,0,1,3,25,32.0,0,3,0
101,626,0,1,3,80,32.0,0,2,0
102,626,0,1,3,20,31.0,0,2,1
103,625,0,1,3,10,33.0,0,2,1
104,625,0,1,3,30,29.0,0,1,2
105,677,1,1,3,15,41.0,0,3,0
106,677,1,1,3,20,41.0,0,2,0
107,677,1,1,3,50,35.0,0,2,1
108,677,0,1,3,35,25.0,0,2,0
109,677,0,1,3,40,31.0,0,2,0
110,677,0,1,3,50,38.0,0,2,0
111,732,1,1,3,20,36.0,0,2,1
112,732,1,1,3,40,31.0,0,2,1
113,732,1,1,3,50,30.0,0,2,2
114,731,0,1,3,10,16.0,0,3,0
115,731,0,1,3,10,34.0,0,1,0
116,731,0,1,3,60,40.0,0,2,0
117,732,0,1,3,30,36.0,0,3,1
118,789,1,1,3,40,44.0,0,3,0
119,789,1,1,3,50,30.0,0,2,0
120,790,1,1,3,60,40.0,0,2,0
121,789,1,1,3,25,34.0,0,1,1
122,790,1,1,3,20,33.0,0,2,1
123,789,1,1,3,60,40.0,0,1,1
124,789,0,1,3,25,27.0,0,2,0
125,790,0,1,3,40,28.0,0,1,0
126,789,0,1,3,30,30.0,0,1,1
128,851,1,1,3,20,32.0,0,3,0
129,851,1,1,3,20,34.0,0,3,0
130,851,1,1,3,25,42.0,0,2,0
131,851,1,1,3,60,42.0,0,1,1
132,851,0,1,3,15,27.0,0,3,0
133,851,0,1,3,20,21.0,0,1,0
134,851,0,1,3,20,31.0,0,2,0
137,851,0,1,3,55,36.0,0,2,0
138,851,0,1,3,30,35.0,0,2,1
139,851,0,1,3,20,34.0,0,1,1
140,915,1,1,3,50,41.0,0,3,0
141,915,1,1,3,40,37.0,0,3,1
142,915,1,1,3,20,37.0,0,1,1
143,916,0,1,3,20,25.0,0,1,0
144,915,0,1,3,30,29.0,0,3,0
145,915,0,1,3,40,34.0,0,1,0
146,915,0,1,3,40,41.0,0,2,0
147,915,0,1,3,60,46.0,0,2,0
148,984,1,1,3,25,30.0,0,2,0
149,984,1,1,3,25,44.0,0,2,1
150,984,1,1,3,40,38.0,0,2,2
151,984,0,1,3,20,28.0,0,2,0
152,984,0,1,3,25,35.0,0,2,0
153,984,0,1,3,30,24.0,0,1,0
154,1056,1,1,3,20,27.0,0,3,0
155,1056,1,1,3,40,41.0,0,1,1
157,1056,0,1,3,10,29.0,0,2,0
158,1056,0,1,3,25,45.0,0,2,0
159,1056,0,1,3,30,46.0,0,2,0
160,1056,0,1,3,35,30.0,0,2,0
162,1056,0,1,3,60,45.0,0,1,0
163,1056,0,1,3,15,35.0,0,2,1
165,1056,0,1,3,30,47.0,0,3,1
166,1056,0,1,3,10,42.0,0,3,2
167,1056,0,1,3,20,40.0,0,3,2
168,1056,0,1,3,30,27.0,0,2,2
169,1132,1,1,3,5,41.0,0,2,0
171,1132,1,1,3,10,44.0,0,2,0
172,1132,1,1,3,20,28.0,0,2,0
173,1132,1,1,3,25,39.0,0,2,0
174,1132,1,1,3,30,25.0,0,2,0
175,1132,1,1,3,30,44.0,0,3,0
176,1132,1,1,3,50,37.0,0,2,0
177,1132,1,1,3,40,38.0,0,2,1
178,1132,1,1,3,40,36.0,0,3,1
179,1132,1,1,3,20,46.0,0,1,1
180,1132,1,1,3,40,45.0,0,1,2
181,1132,0,1,3,5,30.0,0,1,0
182,1132,0,1,3,20,17.0,0,1,0
183,1132,0,1,3,20,37.0,0,3,0
184,1132,0,1,3,25,29.0,0,3,0
185,1132,0,1,3,30,33.0,0,2,0
186,1132,0,1,3,80,38.0,0,2,0
187,1132,0,1,3,30,43.0,0,2,2
188,1212,1,1,3,5,42.0,0,2,0
189,1212,1,1,3,20,50.0,0,2,0
190,1212,1,1,3,35,39.0,0,1,0
191,1212,1,1,3,10,10.0,0,1,1
192,1212,1,1,3,20,45.0,0,3,1
193,1212,1,1,3,40,19.0,0,1,1
195,1212,1,1,3,40,46.0,0,2,1
196,1212,1,1,3,40,45.0,0,3,1
197,1212,1,1,3,50,43.0,0,2,1
198,1212,1,1,3,20,42.0,0,3,2
199,1212,0,1,3,5,37.0,0,2,0
200,1212,0,1,3,20,24.0,0,2,0
201,1212,0,1,3,30,36.0,0,3,0
202,1212,0,1,3,45,39.0,0,2,0
203,1212,0,1,3,50,44.0,0,2,0
204,1212,0,1,3,50,47.0,0,1,0
208,1212,0,1,3,30,44.0,0,2,2
209,1296,1,1,3,20,43.0,0,2,0
210,1297,1,1,3,45,43.0,0,2,0
211,1296,1,1,3,5,42.0,0,2,1
213,1297,1,1,3,20,42.0,0,2,1
214,1296,1,1,3,25,32.0,0,2,1
215,1296,0,1,3,35,39.0,0,3,0
217,1296,0,1,3,10,41.0,0,2,1
218,1385,1,1,3,15,31.0,0,2,0
219,1385,1,1,3,25,30.0,0,2,0
220,1385,1,1,3,25,46.0,0,3,0
221,1385,1,1,3,30,43.0,0,1,0
222,1385,1,1,3,40,30.0,0,2,0
223,1385,1,1,3,10,45.0,0,2,2
224,1385,1,1,3,40,45.0,0,3,2
225,1385,0,1,3,5,42.0,0,3,0
226,1385,0,1,3,10,30.0,0,2,0
227,1385,0,1,3,10,40.0,0,2,0
228,1385,0,1,3,25,32.0,0,2,0
229,1385,0,1,3,30,49.0,0,1,0
230,1385,0,1,3,35,35.0,0,3,0
231,1385,0,1,3,50,47.0,0,2,0
232,1385,0,1,3,20,44.0,0,2,1
233,1385,0,1,3,40,40.0,0,2,1
234,1385,0,1,3,10,40.0,0,2,1
235,1478,1,1,3,10,25.0,0,1,0
236,1478,1,1,3,15,53.0,0,1,0
237,1478,1,1,3,20,46.0,0,1,0
238,1478,1,1,3,40,24.0,0,2,0
239,1478,1,1,3,30,50.0,0,1,1
240,1478,1,1,3,20,37.0,0,1,1
241,1478,1,1,3,35,48.0,0,1,1
242,1478,1,1,3,30,34.0,0,2,1
243,1478,1,1,3,30,47.0,0,3,2
244,1478,0,1,3,5,44.0,0,2,0
245,1478,0,1,3,20,19.0,0,3,0
246,1478,0,1,3,30,51.0,0,1,0
247,1478,0,1,3,60,45.0,0,2,0
248,1478,0,1,3,60,50.0,0,1,0
249,1478,0,1,3,20,41.0,0,2,2
250,1576,1,1,3,15,41.0,0,2,0
253,1576,1,1,3,80,38.0,0,3,0
254,1576,1,1,3,30,50.0,0,3,1
255,1576,1,1,3,20,48.0,0,3,1
256,1576,1,1,3,25,48.0,0,2,1
257,1575,0,1,3,5,36.0,0,3,0
258,1576,0,1,3,10,37.0,0,1,0
259,1576,0,1,3,30,41.0,0,2,0
260,1576,0,1,3,60,45.0,0,2,0
261,1576,0,1,3,40,48.0,0,3,1
262,1678,1,1,3,10,50.0,0,2,0
263,1678,1,1,3,20,43.0,0,2,1
264,1678,1,1,3,10,40.0,0,2,1
265,1678,1,1,3,50,39.0,0,2,2
266,1678,1,1,3,5,44.0,0,2,2
267,1678,0,1,3,5,41.0,0,3,0
268,1678,0,1,3,10,45.0,0,1,0
269,1678,0,1,3,15,42.0,0,2,0
270,1678,0,1,3,20,44.0,0,3,0
272,1785,1,1,3,10,20.0,0,1,0
273,1786,1,1,3,50,47.0,0,2,0
274,1785,1,1,3,20,51.0,0,2,1
275,1786,1,1,3,40,51.0,0,1,1
276,1785,1,1,3,40,50.0,0,1,1
277,1786,1,1,3,20,45.0,0,3,1
278,1786,0,1,3,15,36.0,0,2,0
279,1785,0,1,3,40,30.0,0,1,0
280,1785,0,1,3,40,51.0,0,1,0
281,1785,0,1,3,40,53.0,0,2,0
282,1786,0,1,3,45,34.0,0,2,0
285,1898,1,1,3,15,49.0,0,3,0
286,1898,1,1,3,30,51.0,0,2,0
287,1898,1,1,3,35,54.0,0,3,0
288,1898,1,1,3,40,45.0,0,3,1
289,1898,1,1,3,15,52.0,0,1,1
290,1898,1,1,3,30,49.0,0,2,1
291,1898,1,1,3,30,50.0,0,2,2
292,1898,0,1,3,5,50.0,0,1,0
293,1898,0,1,3,10,45.0,0,2,0
294,1898,0,1,3,5,50.0,0,2,1
295,1898,0,1,3,40,48.0,0,2,1
296,1898,0,1,3,20,41.0,0,3,1
297,1898,0,1,3,25,41.0,0,1,2
298,2015,1,1,3,15,38.0,0,2,0
301,2015,1,1,3,60,53.0,0,2,0
303,2016,1,1,3,20,40.0,0,1,1
304,2016,1,1,3,15,47.0,0,2,1
305,2015,1,1,3,30,50.0,0,2,1
306,2016,1,1,3,60,54.0,0,2,2
307,2015,0,1,3,60,41.0,0,1,0
308,2016,0,1,3,20,49.0,0,1,1
309,2015,0,1,3,15,53.0,0,2,1
310,2016,0,1,3,30,52.0,0,3,1
311,2015,0,1,3,20,50.0,0,3,1
312,2015,0,1,3,20,50.0,0,2,1
313,2015,0,1,3,40,51.0,0,1,1
315,2138,1,1,3,20,55.0,0,3,1
316,2138,1,1,3,40,52.0,0,1,1
317,2138,1,1,3,20,56.0,0,1,2
318,2139,0,1,3,20,20.0,0,1,0
319,2139,0,1,3,30,43.0,0,2,1
320,2267,1,1,3,10,53.0,0,1,0
321,2267,1,1,3,20,25.0,0,3,0
322,2267,1,1,3,20,46.0,0,2,0
323,2267,1,1,3,20,54.0,0,2,0
324,2267,1,1,3,20,61.0,0,2,0
325,2267,1,1,3,40,48.0,0,2,0
326,2267,1,1,3,90,55.0,0,1,0
328,2267,0,1,3,10,40.0,0,1,1
329,2402,1,1,3,5,54.0,0,2,0
331,2401,1,1,3,20,35.0,0,2,0
332,2401,1,1,3,30,45.0,0,2,1
333,2401,1,1,3,60,50.0,0,2,1
334,2401,1,1,3,40,50.0,0,2,1
335,2402,1,1,3,5,50.0,0,1,1
336,2402,1,1,3,60,55.0,0,2,1
337,2401,0,1,3,5,52.0,0,2,0
338,2401,0,1,3,15,18.0,0,2,0
339,2402,0,1,3,20,44.0,0,2,0
340,2402,0,1,3,40,56.0,0,2,0
341,2542,1,1,3,10,57.0,0,2,0
343,2542,1,1,3,40,57.0,0,2,0
344,2541,1,1,3,20,55.0,0,1,1
345,2541,0,1,3,5,30.0,0,2,0
346,2541,0,1,3,30,53.0,0,1,0
347,2542,0,1,3,80,56.0,0,1,0
348,2542,0,1,3,10,54.0,0,2,1
349,2541,0,1,3,5,55.0,0,1,1
350,2688,1,1,3,30,62.0,0,2,0
351,2688,1,1,3,40,56.0,0,2,1
352,2688,1,1,3,20,54.0,0,2,2
353,2687,0,1,3,30,60.0,0,2,0
355,2688,0,1,3,40,56.0,0,3,1
356,2688,0,1,3,40,51.0,0,2,2
357,2840,1,1,3,10,57.0,0,2,0
358,2840,1,1,3,15,55.0,0,1,0
359,2840,1,1,3,30,63.0,0,1,0
360,2840,1,1,3,20,53.0,0,1,1
361,2840,1,1,3,20,54.0,0,2,1
362,2840,1,1,3,30,60.0,0,1,2
363,2840,0,1,3,10,46.0,0,1,0
364,2999,1,1,3,30,60.0,0,2,1
365,2999,1,1,3,30,61.0,0,2,1
366,2999,0,1,3,15,49.0,0,2,0
367,2999,0,1,3,20,44.0,0,3,0
369,3164,1,1,3,5,54.0,0,1,0
370,3165,1,1,3,20,62.0,0,3,0
371,3165,1,1,3,30,57.0,0,1,0
373,3164,0,1,3,55,60.0,0,2,0
374,3336,1,1,3,5,56.0,0,2,1
375,3337,1,1,3,20,62.0,0,3,2
376,3337,0,1,3,10,66.0,0,2,0
377,3337,0,1,3,20,63.0,0,3,0
378,3337,0,1,3,15,60.0,0,3,2
379,3516,1,1,3,20,50.0,0,2,0
380,3516,1,1,3,30,55.0,0,2,0
381,3516,1,1,3,20,59.0,0,2,1
382,3702,1,1,3,10,60.0,0,3,0
383,3702,1,1,3,15,64.0,0,2,0
384,3702,1,1,3,20,63.0,0,2,1
385,3896,1,1,3,20,61.0,0,1,0
386,151,1,0,3,20,25.0,0,1,0
387,150,1,0,3,30,13.0,0,2,0
388,151,1,0,3,60,15.0,0,2,0
389,150,0,0,3,5,13.0,0,1,0
390,150,0,0,3,20,10.0,0,3,0
391,150,0,0,3,40,21.0,0,1,0
392,169,0,0,3,10,21.0,0,2,0
393,168,0,0,3,20,7.0,0,3,0
394,188,0,0,3,20,22.0,0,3,0
395,188,0,0,3,35,25.0,0,2,0
396,188,0,0,3,40,26.0,0,3,0
397,188,0,0,3,60,19.0,0,3,0
398,209,1,0,3,20,17.0,0,2,0
399,209,1,0,3,30,18.0,0,2,0
400,209,1,0,3,40,24.0,0,2,0
401,209,0,0,3,55,21.0,0,2,0
402,232,1,0,3,30,19.0,0,3,0
403,232,1,0,3,30,21.0,0,1,0
404,232,1,0,3,35,22.0,0,1,0
405,232,0,0,3,5,5.0,0,1,0
406,232,0,0,3,20,13.0,0,1,0
407,231,0,0,3,25,20.0,0,2,0
408,257,1,0,3,15,15.0,0,3,0
409,283,0,0,3,10,15.0,0,1,0
411,283,0,0,3,20,24.0,0,2,0
412,283,0,0,3,25,25.0,0,1,0
413,283,0,0,3,40,19.0,0,2,0
414,312,0,0,3,5,15.0,0,3,0
415,311,0,0,3,5,28.0,0,3,0
416,312,0,0,3,15,25.0,0,2,0
417,311,0,0,3,20,24.0,0,2,0
418,311,0,0,3,20,27.0,0,2,0
419,312,0,0,3,30,18.0,0,1,0
420,311,0,0,3,45,18.0,0,2,0
421,312,0,0,3,60,29.0,0,3,0
422,342,1,0,3,5,23.0,0,2,0
423,342,1,0,3,40,20.0,0,1,0
424,342,1,0,3,50,17.0,0,1,0
425,342,0,0,3,10,30.0,0,3,0
426,342,0,0,3,20,10.0,0,2,0
427,342,0,0,3,20,25.0,0,3,1
428,375,1,0,3,15,15.0,0,2,0
430,375,1,0,3,30,26.0,0,3,0
431,375,1,0,3,35,24.0,0,2,0
432,375,1,0,3,35,29.0,0,3,0
433,375,1,0,3,55,25.0,0,2,0
434,375,0,0,3,20,13.0,0,1,0
435,375,0,0,3,25,29.0,0,2,0
436,411,1,0,3,25,33.0,0,2,0
437,410,1,0,3,30,28.0,0,2,0
438,410,1,0,3,20,26.0,0,1,1
439,410,0,0,3,5,27.0,0,2,0
440,448,1,0,3,5,22.0,0,3,0
441,448,1,0,3,5,26.0,0,2,0
443,448,1,0,3,20,12.0,0,1,0
444,448,1,0,3,20,13.0,0,2,0
445,448,1,0,3,20,34.0,0,3,0
446,448,1,0,3,40,34.0,0,3,0
448,448,0,0,3,20,8.0,0,1,1
449,488,1,0,3,25,28.0,0,2,0
450,488,1,0,3,10,6.0,0,2,1
451,489,1,0,3,15,29.0,0,2,1
452,489,1,0,3,35,31.0,0,2,1
453,489,1,0,3,10,28.0,0,2,1
454,488,1,0,3,40,18.0,0,1,2
456,488,0,0,3,25,33.0,0,2,0
457,488,0,0,3,40,17.0,0,2,0
458,488,0,0,3,40,37.0,0,3,0
459,488,0,0,3,40,30.0,0,3,2
460,531,1,0,3,15,14.0,0,2,0
461,531,1,0,3,35,29.0,0,2,0
462,531,1,0,3,50,33.0,0,3,0
463,531,0,0,3,30,23.0,0,1,0
464,577,1,0,3,10,29.0,0,2,0
465,577,1,0,3,35,32.0,0,2,0
467,577,1,0,3,20,31.0,0,3,2
470,577,0,0,3,15,31.0,0,1,1
471,625,1,0,3,5,10.0,0,1,0
472,626,0,0,3,40,31.0,0,1,0
474,677,1,0,3,30,21.0,0,3,0
475,677,1,0,3,40,35.0,0,2,1
476,677,0,0,3,5,35.0,0,2,0
477,677,0,0,3,15,35.0,0,2,0
478,677,0,0,3,30,18.0,0,3,0
479,677,0,0,3,30,25.0,0,3,0
480,677,0,0,3,45,25.0,0,2,0
481,677,0,0,3,30,32.0,0,3,2
482,732,1,0,3,5,18.0,0,3,0
483,731,1,0,3,5,37.0,0,2,0
484,732,1,0,3,40,35.0,0,1,1
485,731,1,0,3,30,38.0,0,2,1
486,732,1,0,3,25,34.0,0,3,1
487,731,0,0,3,30,19.0,0,2,0
488,731,0,0,3,35,36.0,0,3,0
489,732,0,0,3,60,30.0,0,2,0
490,789,1,0,3,10,22.0,0,2,0
491,790,1,0,3,10,37.0,0,1,0
492,789,1,0,3,25,31.0,0,1,0
493,789,1,0,3,40,26.0,0,2,0
494,790,1,0,3,30,34.0,0,1,1
495,790,0,0,3,10,29.0,0,2,0
496,789,0,0,3,30,36.0,0,1,0
497,789,0,0,3,45,34.0,0,3,0
498,790,0,0,3,60,35.0,0,1,0
499,789,0,0,3,30,30.0,0,2,1
500,789,0,0,3,10,31.0,0,1,1
501,790,0,0,3,20,35.0,0,2,1
502,851,1,0,3,10,16.0,0,2,0
503,851,1,0,3,20,24.0,0,2,0
505,851,1,0,3,40,37.0,0,2,0
506,851,0,0,3,10,5.0,0,2,0
507,851,0,0,3,15,15.0,0,2,0
508,850,0,0,3,15,27.0,0,3,0
509,851,0,0,3,20,22.0,0,2,0
510,851,0,0,3,25,38.0,0,2,0
511,851,0,0,3,20,24.0,0,2,2
513,915,1,0,3,10,22.0,0,2,0
514,916,1,0,3,60,31.0,0,2,0
515,915,1,0,3,20,17.0,0,1,1
517,916,1,0,3,40,18.0,0,1,1
518,915,1,0,3,30,40.0,0,1,2
519,915,0,0,3,15,39.0,0,3,0
520,915,0,0,3,20,8.0,0,3,0
521,915,0,0,3,40,40.0,0,2,0
522,915,0,0,3,20,20.0,0,2,1
523,915,0,0,3,20,34.0,0,2,2
524,984,1,0,3,5,8.0,0,2,0
525,984,1,0,3,20,7.0,0,2,0
526,984,1,0,3,20,9.0,0,1,0
528,984,1,0,3,35,43.0,0,1,0
529,984,0,0,3,10,23.0,0,3,0
530,984,0,0,3,10,38.0,0,2,0
531,984,0,0,3,15,41.0,0,2,0
532,984,0,0,3,25,17.0,0,3,0
533,984,0,0,3,40,37.0,0,1,0
534,984,0,0,3,50,31.0,0,3,0
535,1056,1,0,3,30,41.0,0,1,0
536,1056,1,0,3,40,35.0,0,3,0
537,1056,1,0,3,45,37.0,0,1,0
538,1056,1,0,3,15,32.0,0,2,1
539,1056,0,0,3,5,31.0,0,2,0
541,1056,0,0,3,20,24.0,0,2,0
542,1056,0,0,3,40,29.0,0,3,0
543,1056,0,0,3,40,37.0,0,2,1
544,1132,1,0,3,20,46.0,0,2,0
545,1132,1,0,3,30,39.0,0,1,0
546,1132,1,0,3,20,25.0,0,2,1
547,1132,0,0,3,10,31.0,0,2,0
548,1132,0,0,3,15,34.0,0,3,0
549,1132,0,0,3,35,45.0,0,2,0
550,1212,1,0,3,5,18.0,0,1,0
551,1212,1,0,3,10,44.0,0,3,0
552,1212,1,0,3,15,31.0,0,3,0
553,1212,1,0,3,15,40.0,0,1,0
554,1212,1,0,3,20,27.0,0,3,0
555,1212,1,0,3,40,44.0,0,2,0
556,1212,1,0,3,40,49.0,0,2,0
557,1212,1,0,3,25,44.0,0,2,1
558,1212,1,0,3,25,40.0,0,1,2
559,1212,0,0,3,10,32.0,0,2,0
560,1212,0,0,3,15,43.0,0,2,0
561,1212,0,0,3,20,23.0,0,1,0
563,1212,0,0,3,20,31.0,0,2,1
564,1212,0,0,3,40,41.0,0,3,1
566,1296,1,0,3,20,48.0,0,2,0
568,1296,1,0,3,30,35.0,0,2,0
569,1296,1,0,3,10,25.0,0,3,1
570,1296,1,0,3,15,43.0,0,3,1
571,1297,1,0,3,20,44.0,0,1,1
572,1297,0,0,3,10,35.0,0,1,0
573,1297,0,0,3,15,34.0,0,1,0
574,1296,0,0,3,30,44.0,0,2,1
575,1296,0,0,3,40,42.0,0,2,1
576,1385,1,0,3,15,21.0,0,2,0
577,1385,1,0,3,15,28.0,0,1,0
578,1385,1,0,3,15,36.0,0,3,0
579,1385,1,0,3,20,37.0,0,2,0
580,1385,1,0,3,25,40.0,0,2,0
582,1385,1,0,3,40,36.0,0,2,0
583,1385,1,0,3,30,42.0,0,2,1
585,1385,0,0,3,10,46.0,0,2,0
586,1385,0,0,3,20,25.0,0,1,0
587,1385,0,0,3,30,47.0,0,3,0
588,1385,0,0,3,50,36.0,0,1,0
589,1385,0,0,3,5,42.0,0,2,1
590,1478,1,0,3,20,34.0,0,2,0
591,1478,1,0,3,25,14.0,0,3,0
592,1478,1,0,3,40,19.0,0,2,0
593,1478,1,0,3,20,45.0,0,1,1
594,1478,1,0,3,30,39.0,0,3,1
595,1478,1,0,3,5,49.0,0,2,1
598,1478,0,0,3,10,47.0,0,1,0
599,1478,0,0,3,30,25.0,0,2,0
601,1478,0,0,3,50,45.0,0,2,0
602,1478,0,0,3,40,46.0,0,3,1
603,1576,1,0,3,15,37.0,0,1,0
604,1575,1,0,3,20,45.0,0,2,1
605,1576,1,0,3,25,46.0,0,2,1
607,1575,0,0,3,15,38.0,0,3,0
608,1576,0,0,3,20,47.0,0,1,0
609,1576,0,0,3,40,42.0,0,1,0
610,1678,1,0,3,25,43.0,0,2,0
611,1678,1,0,3,10,40.0,0,2,1
612,1678,1,0,3,10,17.0,0,3,1
613,1678,1,0,3,25,48.0,0,2,2
614,1678,0,0,3,15,43.0,0,2,0
615,1678,0,0,3,40,40.0,0,3,0
616,1678,0,0,3,40,47.0,0,2,0
617,1678,0,0,3,40,40.0,0,2,1
618,1785,1,0,3,5,16.0,0,2,0
620,1785,1,0,3,15,14.0,0,3,0
621,1786,1,0,3,20,18.0,0,3,0
622,1785,1,0,3,30,19.0,0,3,0
623,1785,1,0,3,35,43.0,0,2,0
624,1786,1,0,3,40,47.0,0,2,0
625,1786,1,0,3,20,49.0,0,1,1
626,1786,0,0,3,10,21.0,0,2,0
627,1786,0,0,3,20,23.0,0,1,0
628,1786,0,0,3,20,38.0,0,1,0
629,1785,0,0,3,30,42.0,0,3,0
631,1785,0,0,3,30,43.0,0,2,1
632,1898,1,0,3,25,49.0,0,3,0
633,1898,1,0,3,40,26.0,0,3,1
634,1898,1,0,3,15,31.0,0,1,1
635,1898,1,0,3,20,50.0,0,3,2
636,1898,0,0,3,5,33.0,0,1,0
637,1898,0,0,3,15,26.0,0,2,0
638,1898,0,0,3,15,35.0,0,1,0
639,1898,0,0,3,20,14.0,0,2,0
640,1898,0,0,3,40,42.0,0,2,0
641,2016,1,0,3,5,17.0,0,1,0
642,2015,1,0,3,10,34.0,0,1,0
643,2016,1,0,3,20,27.0,0,2,0
644,2016,1,0,3,10,45.0,0,2,1
645,2016,1,0,3,15,53.0,0,2,1
646,2015,1,0,3,25,51.0,0,3,1
647,2016,0,0,3,5,48.0,0,2,0
648,2015,0,0,3,30,40.0,0,1,0
649,2016,0,0,3,30,49.0,0,1,1
650,2138,1,0,3,30,29.0,0,2,0
651,2139,1,0,3,20,49.0,0,3,1
652,2138,1,0,3,20,51.0,0,2,1
653,2138,0,0,3,5,45.0,0,1,0
654,2138,0,0,3,10,32.0,0,1,0
655,2139,0,0,3,15,29.0,0,2,0
656,2139,0,0,3,20,50.0,0,3,0
657,2138,0,0,3,25,55.0,0,2,0
658,2267,1,0,3,10,49.0,0,1,0
659,2267,1,0,3,20,49.0,0,1,0
660,2267,1,0,3,40,51.0,0,2,0
661,2267,1,0,3,20,47.0,0,1,1
662,2267,1,0,3,40,52.0,0,1,1
663,2267,0,0,3,5,20.0,0,1,0
664,2267,0,0,3,10,48.0,0,1,0
665,2267,0,0,3,20,49.0,0,3,0
666,2267,0,0,3,25,37.0,0,2,0
667,2267,0,0,3,20,49.0,0,1,1
668,2267,0,0,3,10,52.0,0,1,1
669,2402,1,0,3,10,52.0,0,2,1
670,2401,0,0,3,20,51.0,0,2,0
671,2402,0,0,3,20,42.0,0,3,1
672,2541,1,0,3,5,55.0,0,1,0
673,2541,1,0,3,10,54.0,0,3,0
674,2542,1,0,3,20,20.0,0,2,0
675,2542,1,0,3,20,45.0,0,1,0
676,2541,1,0,3,20,49.0,0,2,0
677,2542,1,0,3,10,51.0,0,2,1
