ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season
1419,448,1,0,2,30,28.0,2,1,0
1420,448,1,0,2,35,23.0,7,2,0
1432,488,1,0,2,20,20.0,10,2,0
1439,489,1,0,2,40,23.0,9,2,0
1454,531,1,0,2,40,26.0,6,2,0
1455,531,1,0,2,40,6.0,18,1,0
1469,577,1,0,2,15,20.0,11,2,0
1478,577,1,0,2,30,22.0,9,1,0
1486,577,1,0,2,40,30.0,3,2,0
1497,625,1,0,2,20,24.0,8,1,0
1509,626,1,0,2,30,20.0,12,2,0
1510,626,1,0,2,30,30.0,1,2,0
1515,626,1,0,2,50,28.0,8,1,0
1516,625,1,0,2,50,35.0,0,3,0
1528,677,1,0,2,10,17.0,18,2,0
1531,677,1,0,2,10,20.0,11,2,0
1535,677,1,0,2,20,23.0,11,3,0
1546,677,1,0,2,30,30.0,0,2,0
1549,677,1,0,2,40,30.0,6,2,0
1553,677,1,0,2,50,30.0,7,2,0
1560,732,1,0,2,10,20.0,15,2,0
1593,789,1,0,2,10,20.0,14,1,0
1603,790,1,0,2,25,15.0,21,1,0
1620,851,1,0,2,20,20.0,19,2,0
1626,851,1,0,2,20,22.0,14,2,0
1650,851,1,0,2,60,14.0,23,3,0
1657,916,1,0,2,10,13.0,24,2,0
1665,915,1,0,2,20,16.0,20,3,0
1672,915,1,0,2,20,35.0,3,2,0
1679,915,1,0,2,30,25.0,9,2,0
1680,915,1,0,2,30,37.0,2,2,0
1715,984,1,0,2,30,20.0,18,2,0
1722,984,1,0,2,35,25.0,12,3,0
1728,984,1,0,2,40,23.0,14,3,0
1729,984,1,0,2,40,38.0,2,2,0
1743,1056,1,0,2,10,40.0,0,3,0
1760,1056,1,0,2,30,40.0,0,2,0
1771,1132,1,0,2,30,20.0,18,2,0
1776,1132,1,0,2,10,20.0,18,2,0
1780,1132,1,0,2,20,20.0,23,3,0
1791,1132,1,0,2,40,10.0,28,1,0
1802,1132,1,0,2,60,30.0,12,2,0
1803,1132,1,0,2,50,25.0,15,1,1
1811,1212,1,0,2,10,15.0,21,3,0
1826,1212,1,0,2,30,35.0,4,2,0
1846,1297,1,0,2,10,40.0,4,3,0
1851,1296,1,0,2,20,28.0,12,1,0
1884,1385,1,0,2,20,25.0,13,3,0
1896,1385,1,0,2,40,20.0,19,1,0
1898,1385,1,0,2,40,30.0,15,2,0
1920,1478,1,0,2,20,30.0,12,2,0
1930,1478,1,0,2,40,30.0,16,1,0
1942,1478,1,0,2,40,24.0,22,2,1
1944,1478,1,0,2,20,23.0,21,3,1
1955,1575,1,0,2,20,20.0,24,1,0
1958,1575,1,0,2,20,30.0,15,1,0
1970,1678,1,0,2,10,10.0,32,2,0
1971,1678,1,0,2,15,20.0,27,3,0
1992,1678,1,0,2,15,30.0,14,3,1
1996,1678,1,0,2,35,32.0,15,3,1
2006,1785,1,0,2,20,50.0,0,1,0
2017,1786,1,0,2,40,30.0,14,2,0
2024,1785,1,0,2,20,38.0,10,2,1
2047,2015,1,0,2,5,6.0,35,2,0
2060,2015,1,0,2,25,40.0,8,1,0
2063,2016,1,0,2,45,20.0,28,2,0
2077,2139,1,0,2,40,40.0,14,3,0
2126,2541,1,0,2,5,30.0,20,1,0
2145,2688,1,0,2,20,32.0,22,2,0
2147,2688,1,0,2,20,44.0,8,3,0
2157,2840,1,0,2,15,35.0,20,2,0
2160,2840,1,0,2,30,33.0,24,1,0
2163,2840,1,0,2,20,40.0,14,3,1
2167,2840,1,0,2,20,30.0,25,2,1
2175,2999,1,0,2,20,6.0,44,3,0
2178,2999,1,0,2,60,42.0,14,2,0
2182,3165,1,0,2,30,50.0,11,2,1
2200,257,0,1,2,5,20.0,3,2,0
2203,283,0,1,2,40,14.0,8,2,0
2204,312,0,1,2,10,20.0,3,1,0
2208,312,0,1,2,60,19.0,7,2,0
2212,342,0,1,2,20,26.0,0,1,0
2214,342,0,1,2,40,24.0,2,1,0
2226,411,0,1,2,30,25.0,4,1,0
2235,448,0,1,2,40,30.0,0,2,0
2255,577,0,1,2,25,18.0,10,2,0
2259,625,0,1,2,10,30.0,2,2,0
2260,625,0,1,2,15,20.0,10,3,0
2274,677,0,1,2,25,23.0,9,1,0
2277,677,0,1,2,40,17.0,13,2,0
2279,732,0,1,2,5,12.0,19,1,0
2286,732,0,1,2,10,30.0,1,2,0
2321,851,0,1,2,40,30.0,5,2,0
2329,915,0,1,2,15,37.0,0,2,0
2334,915,0,1,2,20,30.0,5,1,0
2346,984,0,1,2,5,30.0,3,2,0
2372,1132,0,1,2,10,30.0,11,1,0
2376,1132,0,1,2,15,30.0,12,1,0
2383,1212,0,1,2,10,30.0,3,2,0
2391,1212,0,1,2,40,13.0,28,2,0
2428,1478,0,1,2,20,45.0,2,3,0
2429,1478,0,1,2,20,39.0,6,2,0
2438,1576,0,1,2,10,47.0,3,2,0
2439,1576,0,1,2,10,30.0,13,2,0
2465,1678,0,1,2,60,36.0,9,2,0
2473,1786,0,1,2,20,16.0,30,1,0
2490,1898,0,1,2,30,34.0,13,1,0
2499,1898,0,1,2,20,30.0,16,2,1
2500,2016,0,1,2,20,30.0,20,3,0
2507,2015,0,1,2,40,47.0,2,2,0
2528,2267,0,1,2,20,49.0,4,2,0
2536,2401,0,1,2,20,47.0,6,2,0
2547,2688,0,1,2,20,30.0,22,2,0
2558,2999,0,1,2,15,50.0,4,2,1
2569,3336,0,1,2,20,35.0,16,2,1
2577,915,0,0,1,0,0.0,0,3,1
2604,188,1,1,3,25,20.0,0,1,0
2606,188,1,1,3,45,25.0,0,3,0
2607,188,1,0,3,30,18.0,0,1,1
2611,232,1,1,3,40,24.0,0,2,0
2612,232,1,0,3,5,5.0,0,2,0
2624,342,1,0,3,25,25.0,0,3,0
2625,342,1,0,3,35,25.0,0,2,0
2639,410,1,0,3,40,31.0,0,2,0
2647,448,1,0,3,35,26.0,0,1,0
2664,531,1,1,3,20,32.0,0,1,2
2677,577,1,0,3,25,28.0,0,2,1
2681,625,1,0,3,10,32.0,0,1,0
2685,625,1,0,3,60,37.0,0,3,0
2691,677,1,0,3,25,35.0,0,2,0
2703,731,1,0,3,80,34.0,0,2,0
2712,790,1,0,3,30,36.0,0,2,0
2725,915,1,1,3,20,40.0,0,1,0
2727,916,1,1,3,25,40.0,0,1,0
2739,984,1,1,3,20,40.0,0,3,0
2751,1056,1,0,3,25,40.0,0,2,0
2767,1132,1,0,3,25,40.0,0,2,1
2788,1296,1,0,3,20,40.0,0,2,0
2791,1296,1,0,3,40,40.0,0,1,0
2804,1385,1,0,3,50,46.0,0,3,1
2808,1478,1,0,3,15,46.0,0,2,0
2810,1478,1,0,3,60,44.0,0,3,0
2817,1576,1,1,3,20,50.0,0,3,0
2820,1576,1,0,3,10,47.0,0,2,0
2823,1576,1,0,3,30,50.0,0,2,0
2824,1575,1,0,3,30,47.0,0,2,0
2836,1786,1,1,3,10,50.0,0,2,0
2837,1786,1,1,3,15,50.0,0,1,0
2841,1785,1,1,3,25,50.0,0,2,1
2842,1786,1,1,3,20,50.0,0,1,2
2853,1898,1,0,3,5,50.0,0,2,0
2862,2015,1,1,3,40,47.0,0,1,2
2879,2138,1,0,3,20,53.0,0,2,1
2881,2267,1,1,3,20,53.0,0,2,0
2885,2267,1,1,3,15,53.0,0,2,2
2892,2401,1,1,3,30,56.0,0,2,1
2910,2687,1,1,3,20,57.0,0,1,1
2919,2999,1,1,3,5,58.0,0,2,0
2923,3165,1,1,3,40,50.0,0,1,1
2936,3516,1,1,3,10,60.0,0,2,0
2944,3702,1,0,3,10,60.0,0,2,1
2947,150,0,1,3,15,18.0,0,2,0
2954,188,0,1,3,30,23.0,0,1,0
2957,209,0,1,3,5,6.0,0,2,0
2971,311,0,0,3,5,28.0,0,3,0
2982,375,0,1,3,30,30.0,0,2,0
3002,488,0,0,3,15,35.0,0,2,0
3015,531,0,0,3,20,32.0,0,1,1
3017,577,0,1,3,5,27.0,0,1,0
3018,577,0,1,3,15,20.0,0,2,0
3060,790,0,0,3,25,35.0,0,2,0
3070,851,0,1,3,40,38.0,0,2,1
3074,915,0,1,3,20,38.0,0,2,0
3101,1056,0,0,3,20,40.0,0,1,0
3119,1132,0,0,3,20,40.0,0,1,1
3136,1296,0,0,3,40,40.0,0,2,1
3168,1678,0,1,3,40,40.0,0,3,1
3172,1678,0,0,3,20,49.0,0,1,0
3179,1785,0,0,3,10,30.0,0,3,0
3185,1898,0,1,3,20,50.0,0,3,0
3193,1898,0,0,3,20,50.0,0,2,0
3205,2015,0,0,3,30,47.0,0,2,1
3210,2139,0,0,3,20,50.0,0,1,1
3218,2267,0,1,3,30,51.0,0,3,0
3220,2267,0,1,3,5,52.0,0,1,1
3231,2542,0,1,3,40,50.0,0,3,0
3235,2687,0,0,3,15,50.0,0,1,0
3236,2687,0,0,3,40,40.0,0,2,0
3259,256,1,1,2,20,15.0,8,1,0
3265,342,1,1,2,15,25.0,0,2,0
3272,375,1,1,2,20,25.0,2,1,0
3274,375,1,1,2,30,15.0,12,2,0
3276,410,1,1,2,20,20.0,10,1,0
3291,448,1,1,2,30,27.0,3,2,0
3295,448,1,1,2,40,26.0,3,2,0
3300,489,1,1,2,30,16.0,17,3,0
3307,488,1,1,2,20,14.0,17,2,1
3311,531,1,1,2,20,17.0,16,1,0
3313,531,1,1,2,20,25.0,6,2,0
3316,531,1,1,2,30,10.0,18,1,0
3320,531,1,1,2,40,16.0,15,2,0
3353,626,1,1,2,50,34.0,1,1,0
3360,677,1,1,2,15,20.0,11,3,0
3369,677,1,1,2,40,23.0,10,1,0
3379,731,1,1,2,10,30.0,4,1,0
3420,851,1,1,2,25,35.0,1,1,0
3431,915,1,1,2,10,10.0,21,1,0
3436,915,1,1,2,20,20.0,20,2,0
3438,915,1,1,2,20,13.0,25,1,0
3441,916,1,1,2,20,40.0,0,2,0
3443,916,1,1,2,30,20.0,17,1,0
3489,1056,1,1,2,30,30.0,9,2,0
3505,1132,1,1,2,20,20.0,17,1,0
3513,1132,1,1,2,30,12.0,28,1,0
3528,1132,1,1,2,40,19.0,23,1,1
3539,1212,1,1,2,30,28.0,15,2,0
3565,1296,1,1,2,40,25.0,16,1,0
3588,1385,1,1,2,20,30.0,16,2,0
3604,1385,1,1,2,20,40.0,1,2,1
3628,1478,1,1,2,15,24.0,17,1,1
3642,1576,1,1,2,25,40.0,5,1,0
3644,1575,1,1,2,35,26.0,20,3,0
3648,1576,1,1,2,40,40.0,8,3,0
3662,1678,1,1,2,5,36.0,10,3,0
3667,1678,1,1,2,20,24.0,21,2,0
3673,1678,1,1,2,20,34.0,14,1,0
3685,1678,1,1,2,50,25.0,21,2,1
3694,1786,1,1,2,15,21.0,25,3,0
3710,1785,1,1,2,35,35.0,11,2,0
3719,1786,1,1,2,80,44.0,3,2,2
3732,1898,1,1,2,30,42.0,9,1,0
3762,2015,1,1,2,45,28.0,20,3,0
3777,2138,1,1,2,20,21.0,30,3,0
3797,2139,1,1,2,25,25.0,28,2,2
3819,2402,1,1,2,5,30.0,22,2,0
3845,2541,1,1,2,20,40.0,16,2,1
3869,2688,1,1,2,20,40.0,14,1,1
3871,2688,1,1,2,20,32.0,22,3,1
3888,2999,1,1,2,10,58.0,0,2,0
3910,3164,1,1,2,20,50.0,9,3,1
3931,3702,1,1,2,20,56.0,4,1,1
3936,3895,1,1,2,20,40.0,19,2,2
3948,188,1,0,2,30,10.0,7,2,0
3966,342,1,0,2,15,16.0,11,3,0
3977,375,1,0,2,40,12.0,12,2,0
3981,410,1,0,2,15,20.0,2,2,0
3982,410,1,0,2,20,19.0,9,2,0
3988,410,1,0,2,60,22.0,8,2,0
4009,488,1,0,2,10,20.0,2,1,0
4026,488,1,0,2,20,20.0,7,2,1
4029,531,1,0,2,10,13.0,16,2,0
4042,577,1,0,2,60,29.0,5,1,0
4044,577,1,0,2,15,30.0,4,2,0
4046,577,1,0,2,15,20.0,11,2,0
4051,577,1,0,2,20,24.0,8,1,0
4062,577,1,0,2,40,30.0,4,3,0
4063,577,1,0,2,40,23.0,10,2,0
4064,577,1,0,2,40,30.0,3,2,0
4089,625,1,0,2,70,33.0,1,2,0
4113,677,1,0,2,40,23.0,12,1,0
4139,790,1,0,2,20,15.0,20,2,0
4145,790,1,0,2,35,30.0,1,3,0
4162,851,1,0,2,10,20.0,19,2,0
4174,851,1,0,2,30,20.0,16,2,0
4183,851,1,0,2,50,37.0,0,2,0
4196,915,1,0,2,25,20.0,19,2,0
4211,916,1,0,2,50,35.0,4,2,0
4215,915,1,0,2,20,35.0,3,2,1
4244,1056,1,0,2,5,20.0,18,3,0
4253,1056,1,0,2,20,25.0,15,3,0
4266,1056,1,0,2,40,20.0,17,2,0
4282,1132,1,0,2,10,13.0,28,2,0
4297,1132,1,0,2,30,37.0,1,1,0
4314,1212,1,0,2,20,11.0,28,2,0
4324,1212,1,0,2,20,40.0,0,2,0
4329,1212,1,0,2,30,41.0,0,2,0
4332,1212,1,0,2,40,19.0,22,1,0
4341,1212,1,0,2,50,38.0,3,2,0
4352,1296,1,0,2,10,20.0,16,3,0
4392,1385,1,0,2,30,30.0,11,2,0
4408,1478,1,0,2,5,20.0,22,2,0
4415,1478,1,0,2,15,45.0,1,3,0
4423,1478,1,0,2,20,32.0,12,3,0
4434,1478,1,0,2,40,40.0,0,2,0
4436,1478,1,0,2,60,11.0,32,2,0
4443,1576,1,0,2,10,30.0,18,2,0
4449,1576,1,0,2,20,30.0,16,1,0
4459,1575,1,0,2,40,23.0,20,3,0
4465,1575,1,0,2,10,37.0,10,2,1
4479,1678,1,0,2,20,30.0,17,3,0
4492,1678,1,0,2,40,20.0,24,3,0
4501,1786,1,0,2,20,30.0,20,3,0
4510,1785,1,0,2,30,20.0,25,2,0
4527,1898,1,0,2,20,15.0,34,1,0
4539,1898,1,0,2,35,35.0,13,2,0
4549,2015,1,0,2,10,29.0,18,1,0
4559,2015,1,0,2,20,38.0,12,2,0
4579,2139,1,0,2,20,30.0,22,2,0
4595,2138,1,0,2,20,50.0,1,1,1
4614,2267,1,0,2,25,27.0,24,2,1
4616,2267,1,0,2,20,25.0,29,2,1
4620,2267,1,0,2,20,48.0,4,1,2
4631,2401,1,0,2,45,30.0,18,1,0
4634,2402,1,0,2,50,48.0,4,2,0
4661,2542,1,0,2,20,40.0,11,3,1
4662,2688,1,0,2,10,20.0,32,1,0
4663,2688,1,0,2,10,35.0,17,3,0
4666,2688,1,0,2,20,40.0,14,2,0
4667,2687,1,0,2,20,44.0,6,2,0
4680,2840,1,0,2,15,30.0,21,2,0
4688,2840,1,0,2,30,27.0,26,2,1
4703,2999,1,0,2,40,30.0,24,2,1
4738,3702,1,0,2,20,45.0,15,1,1
4753,232,0,1,2,20,15.0,6,3,0
4756,257,0,1,2,15,17.0,7,2,0
4767,342,0,1,2,50,30.0,2,2,0
4768,375,0,1,2,20,13.0,14,2,0
4799,531,0,1,2,15,11.0,17,1,0
4822,625,0,1,2,40,28.0,5,2,0
4832,677,0,1,2,40,28.0,7,1,1
4833,731,0,1,2,5,10.0,21,2,0
4835,731,0,1,2,10,22.0,12,2,0
4860,789,0,1,2,40,20.0,11,3,0
4884,916,0,1,2,20,20.0,18,1,0
4892,984,0,1,2,15,18.0,20,2,0
4894,984,0,1,2,15,36.0,2,1,0
4902,1056,0,1,2,15,16.0,23,1,0
4917,1132,0,1,2,10,20.0,16,2,0
4922,1132,0,1,2,20,36.0,3,2,0
4934,1212,0,1,2,10,34.0,6,3,0
4942,1296,0,1,2,10,35.0,6,3,0
4972,1385,0,1,2,30,32.0,11,3,0
4996,1576,0,1,2,25,30.0,15,2,0
5011,1678,0,1,2,10,15.0,28,1,1
5017,1785,0,1,2,15,13.0,33,2,0
5028,1898,0,1,2,60,39.0,11,2,0
5043,2016,0,1,2,10,15.0,22,3,1
5045,2138,0,1,2,5,8.0,15,3,0
5049,2138,0,1,2,20,40.0,12,1,0
5072,2402,0,1,2,10,50.0,2,2,0
5093,2687,0,1,2,40,45.0,8,1,0
5094,2840,0,1,2,5,40.0,13,1,0
5095,2840,0,1,2,10,52.0,3,2,0
5097,2840,0,1,2,20,30.0,22,1,0
5098,2840,0,1,2,30,48.0,8,2,0
5099,2999,0,1,2,5,20.0,15,2,0
5103,2999,0,1,2,40,20.0,26,1,0
5109,3164,0,1,2,5,41.0,17,2,0
5113,3337,0,1,2,20,21.0,36,1,0
5115,3516,0,1,2,5,15.0,32,2,0
5129,1385,0,1,1,0,0.0,0,1,2
5133,1898,1,1,1,0,0.0,0,2,1
5140,150,1,0,3,10,20.0,0,1,1
5152,257,1,0,3,20,23.0,0,1,0
5169,411,1,1,3,55,33.0,0,2,0
5175,448,1,1,3,10,25.0,0,3,0
5189,488,1,0,3,60,32.0,0,2,0
5192,531,1,1,3,20,32.0,0,2,0
5206,577,1,0,3,5,29.0,0,3,0
5211,577,1,0,3,80,31.0,0,2,0
5213,625,1,1,3,20,35.0,0,3,0
5215,625,1,1,3,40,38.0,0,2,0
5238,731,1,1,3,55,44.0,0,1,0
5241,731,1,0,3,30,30.0,0,2,0
5249,789,1,1,3,70,36.0,0,2,0
5255,851,1,1,3,25,40.0,0,2,0
5259,851,1,1,3,40,40.0,0,1,1
5268,916,1,1,3,30,40.0,0,2,1
5275,916,1,0,3,15,35.0,0,1,1
5299,1056,1,0,3,50,42.0,0,2,1
5301,1132,1,1,3,20,40.0,0,2,0
5316,1212,1,1,3,5,40.0,0,2,1
5327,1297,1,1,3,25,45.0,0,2,0
5335,1296,1,0,3,20,40.0,0,2,0
5336,1296,1,0,3,40,44.0,0,3,0
5365,1576,1,1,3,25,50.0,0,2,2
5375,1678,1,1,3,10,48.0,0,2,0
5394,1786,1,1,3,50,50.0,0,3,0
5402,1786,1,0,3,10,50.0,0,2,0
5406,1898,1,1,3,5,50.0,0,1,0
5407,1898,1,1,3,5,50.0,0,1,0
5416,2015,1,1,3,50,47.0,0,1,0
5419,2016,1,1,3,20,50.0,0,1,1
5426,2015,1,0,3,10,50.0,0,1,1
5427,2015,1,0,3,10,50.0,0,2,1
5428,2016,1,0,3,45,49.0,0,2,1
5446,2402,1,0,3,15,55.0,0,1,0
5451,2542,1,0,3,20,50.0,0,2,0
5468,2840,1,0,3,20,60.0,0,1,1
5481,3337,1,0,3,10,60.0,0,3,0
5510,232,0,0,3,40,24.0,0,2,0
5513,256,0,1,3,15,20.0,0,2,0
5521,311,0,1,3,30,27.0,0,3,0
5551,448,0,1,3,20,30.0,0,3,2
5560,489,0,1,3,30,30.0,0,2,0
5562,488,0,1,3,20,32.0,0,2,1
5582,577,0,0,3,15,29.0,0,2,0
5589,677,0,1,3,15,30.0,0,1,0
5593,677,0,0,3,5,30.0,0,1,0
5615,790,0,1,3,20,36.0,0,2,1
5630,851,0,0,3,10,26.0,0,2,1
5636,915,0,1,3,40,35.0,0,3,0
5651,984,0,0,3,10,30.0,0,2,0
5672,1132,0,1,3,20,40.0,0,1,2
5674,1132,0,0,3,45,40.0,0,2,0
5686,1212,0,0,3,60,42.0,0,1,0
5691,1297,0,1,3,25,30.0,0,3,0
5693,1296,0,1,3,10,40.0,0,1,1
5700,1385,0,1,3,10,40.0,0,2,1
5708,1385,0,0,3,35,42.0,0,2,0
5709,1385,0,0,3,10,43.0,0,3,1
5724,1576,0,1,3,10,43.0,0,3,0
5740,1678,0,1,3,25,40.0,0,2,1
5741,1678,0,1,3,20,49.0,0,2,1
5765,2015,0,0,3,10,20.0,0,1,0
5766,2016,0,0,3,10,50.0,0,2,0
5774,2139,0,0,3,15,50.0,0,2,1
5799,2840,0,0,3,10,50.0,0,2,0
5801,2840,0,0,3,20,55.0,0,1,0
5825,3702,0,0,3,10,50.0,0,2,0
5836,311,1,1,2,30,25.0,1,1,0
5842,375,1,1,2,15,20.0,6,1,0
5846,411,1,1,2,20,24.0,5,2,0
5851,448,1,1,2,10,20.0,11,3,0
5857,448,1,1,2,60,28.0,1,2,0
5862,488,1,1,2,20,28.0,5,1,0
5873,531,1,1,2,60,29.0,2,1,0
5874,531,1,1,2,20,28.0,5,1,1
5883,577,1,1,2,30,24.0,8,2,0
5904,677,1,1,2,20,20.0,15,2,0
5932,731,1,1,2,40,34.0,2,3,0
5941,790,1,1,2,20,17.0,17,2,0
5948,790,1,1,2,35,30.0,7,2,0
5950,851,1,1,2,15,25.0,14,1,0
5974,915,1,1,2,20,19.0,20,1,0
5975,915,1,1,2,50,30.0,6,2,0
5977,984,1,1,2,10,25.0,14,1,0
5978,984,1,1,2,5,34.0,6,1,0
6001,1056,1,1,2,20,20.0,18,3,0
6016,1056,1,1,2,60,30.0,10,2,0
6036,1132,1,1,2,60,30.0,10,2,0
6104,1385,1,1,2,40,36.0,7,3,0
6112,1478,1,1,2,5,23.0,17,1,0
6125,1478,1,1,2,30,30.0,17,2,0
6137,1576,1,1,2,10,35.0,10,2,0
6152,1576,1,1,2,40,40.0,8,2,1
6156,1678,1,1,2,15,10.0,32,1,0
6160,1678,1,1,2,20,34.0,14,1,0
6166,1678,1,1,2,40,44.0,4,2,0
